SCHOOL_CODE,SCHOOL_NAME_1,SCHOOL_NAME_2,ADDRESS,SCHOOL_ZIP,ZIP_PLUS_4,CITY,STATE_CD,PHONE_NUMBER,SCH_START_GRADE,SCH_TERM_GRADE,HPADDR,SCHOOL_LEVEL_NAME
"4341","MASTERY-MANN HEAD START","MASTERY-MANN HEAD START","5376 W. BERKS ST.","19131",,"PHILADELPHIA","PA","2154734347","PK","PK",,"EARLY CHILDHOOD"
"4399","WRIGHT HEAD START","WRIGHT HEAD START","2700 W. DAUPHIN ST.","19132",,"PHILADELPHIA","PA","2152320651","PK","PK",,"EARLY CHILDHOOD"
"5323","HARTRANFT HEAD START","HARTRANFT HEAD START","2415 GERMANTOWN AVE.","19133",,"PHILADELPHIA","PA","2152352699","PK","PK",,"EARLY CHILDHOOD"
"5342","LUDLOW HEAD START","LUDLOW HEAD START","1402 N. 6TH ST.","19121",,"PHILADELPHIA","PA","2157651718","PK","PK",,"EARLY CHILDHOOD"
"5352","MCKINLEY HEAD START","MCKINLEY HEAD START","2101 N. ORKNEY ST.","19122",,"PHILADELPHIA","PA","2152914180","PK","PK",,"EARLY CHILDHOOD"
"5870","RIVERA CENTER HEAD START","RIVERA CENTER HEAD START","2603-2611 N. 5TH ST.","19133",,"PHILADELPHIA","PA","2154272046","PK","PK",,"EARLY CHILDHOOD"
"5228","CLYMER HEAD START","CLYMER HEAD START","1201 W. RUSH ST.","19133",,"PHILADELPHIA","PA","2152274436","PK","PK",,"EARLY CHILDHOOD"
"5293","FERGUSON HEAD START","FERGUSON HEAD START","2000 N. 7TH ST.","19124",,"PHILADELPHIA","PA","2156848941","PK","PK",,"EARLY CHILDHOOD"
"6241","GERMANTOWN HEAD START","GERMANTOWN HEAD START","40 E. HIGH ST.","19144",,"PHILADELPHIA","PA","2159514164","PK","PK",,"EARLY CHILDHOOD"
"6302","LOGAN SCHOOL ANNEX HEAD START","LOGAN SCHOOL ANNEX HEAD START","5210 N. BROAD ST.","19141",,"PHILADELPHIA","PA","2154553092","PK","PK",,"EARLY CHILDHOOD"
"2455","E.M. STANTON BRIGHT FUTURES","STANTON, E.M. BRIGHT FUTURES","1700 CHRISTIAN ST.","19146",,"PHILADELPHIA","PA","2158753185","PK","PK",,"EARLY CHILDHOOD"
"4445","ETHEL ALLEN BRIGHT FUTURES","ALLEN, DR ETHEL BRIGHT FUTURES","3200 W. LEHIGH AVE.","19132",,"PHILADELPHIA","PA","2152278686","PK","PK",,"EARLY CHILDHOOD"
"1465","ANDERSON BRIGHT FUTURES","ANDERSON BRIGHT FUTURES","1034 S. 60TH ST.","19143",,"PHILADELPHIA","PA","2154712742","PK","PK",,"EARLY CHILDHOOD"
"4435","WHITTIER SCHOOL BRIGHT FUTURES","WHITTIER SCHOOL BRIGHT FUTURES","3001 N. 27TH ST.","19132",,"PHILADELPHIA","PA","2152278641","PK","PK",,"EARLY CHILDHOOD"
"6324","MIFFLIN HEAD START","MIFFLIN HEAD START","3624 CONRAD ST.","19129",,"PHILADELPHIA","PA","2158433478","PK","PK",,"EARLY CHILDHOOD"
"1475","HAVERFORD CTR BRIGHT FUTURES","HAVERFORD CTR BRIGHT FUTURES","4601 HAVERFORD AVE.","19139",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
"6285","KINSEY SCHOOL BRIGHT FUTURES","KINSEY SCHOOL BRIGHT FUTURES","6501 LIMEKILN PIKE","19138",,"PHILADELPHIA","PA","2152765732","PK","PK",,"EARLY CHILDHOOD"
"6315","MCCLOSKEY BRIGHT FUTURES","MCCLOSKEY BRIGHT FUTURES","8500 PICKERING ST.","19150",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
"6843","EMLEN HEAD START","EMLEN HEAD START","6501 CHEW ST.","19119",,"PHILADELPHIA","PA","2159514185","PK","PK",,"EARLY CHILDHOOD"
"6866","SHAWMONT BRIGHT FUTURES","SHAWMONT BRIGHT FUTURES","535 SHAWMONT AVE.","19128",,"PHILADELPHIA","PA","2154825606","PK","PK",,"EARLY CHILDHOOD"
"2215","BACHE MARTIN BRIGHT FUTURES","BACHE MARTIN BRIGHT FUTURES","2201 BROWN ST.","19130",,"PHILADELPHIA","PA","2156845095","PK","PK",,"EARLY CHILDHOOD"
"2595","NEBINGER SCHOOL BRIGHT FUTURES","NEBINGER SCHOOL BRIGHT FUTURES","601 CARPENTER ST.","19147",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
"6417","COOK-WISSAHICKON HEAD START","COOK-WISSAHICKON HEAD START","201 E. SALAIGNAC ST.","19128",,"PHILADELPHIA","PA","2154877584","PK","PK",,"EARLY CHILDHOOD"
"5507","THURGOOD MARSHALL HEAD START","MARSHALL, THURGOOD HEAD START","5120 N. 6TH ST.","19120",,"PHILADELPHIA","PA","2154560193","PK","PK",,"EARLY CHILDHOOD"
"1277","WALNUT CTR/DREW HEAD START","WALNUT CTR/DREW HEAD START","37TH ST. AND LANCASTER AVE.","19104",,"PHILADELPHIA","PA","2156620853","PK","PK",,"EARLY CHILDHOOD"
"7293","STEARNE HEAD START","STEARNE HEAD START","1655 UNITY ST.","19124",,"PHILADELPHIA","PA","2155372955","PK","PK",,"EARLY CHILDHOOD"
"7351","LOWELL BRIGHT FUTURES","LOWELL BRIGHT FUTURES","450 W. NEDRO AVE.","19120",,"PHILADELPHIA","PA","2152765693","PK","PK",,"EARLY CHILDHOOD"
"6341","PENNELL HEAD START","PENNELL HEAD START","1800 NEDRO AVE.","19141",,"PHILADELPHIA","PA","2159277144","PK","PK",,"EARLY CHILDHOOD"
"5252","DUNBAR HEAD START","DUNBAR HEAD START","1750 N. 12TH ST.","19122",,"PHILADELPHIA","PA","2156848942","PK","PK",,"EARLY CHILDHOOD"
"6211","F.S. EDMUNDS BRIGHT FUTURES","EDMONDS, F.S. BRIGHT FUTURES","8025 THOURON AVE.","19150",,"PHILADELPHIA","PA","2152765261","PK","PK",,"EARLY CHILDHOOD"
